City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,liwale,-9.7667,37.9333,21.78,99,98,1.28,TZ,1703201229
83,vorkuta,67.5,64.0,-6.73,94,99,5.63,RU,1703201029
84,lompoc,34.6391,-120.4579,18.4,72,100,7.6,US,1703201136
85,fort mcmurray,56.7268,-111.381,3.77,52,100,2.57,CA,1703201230
86,susuman,62.7833,148.1667,-40.67,100,93,0.3,RU,1703201230
87,east london,-33.0153,27.9116,21.0,80,97,4.65,ZA,1703201230
88,rawson,-43.3002,-65.1023,14.61,80,4,7.73,AR,1703201230
89,burang,30.25,81.1667,-4.27,27,19,1.68,CN,1703201230
90,mao,39.8885,4.2658,14.31,72,0,6.17,ES,1703201230
91,port elizabeth,-33.918,25.5701,20.73,80,75,5.14,ZA,1703201230
92,eyl,7.9803,49.8164,24.66,86,26,6.25,SO,1703201231
93,ust-nera,64.5667,143.2,-39.94,99,60,1.98,RU,1703201231
94,ta`u,-14.2336,-169.5144,26.02,88,90,7.34,AS,1703201231
95,fort bragg,35.139,-79.006,9.55,54,75,0.0,US,1703201231
96,uturoa,-16.7333,-151.4333,25.0,91,100,3.19,PF,1703201231
97,reyes,-14.3167,-67.3833,25.81,89,99,1.05,BO,1703201231
98,kodiak,57.79,-152.4072,1.73,55,0,2.06,US,1703200997
99,tarhuna,32.435,13.6332,10.28,65,22,10.39,LY,1703201231
100,balabac,7.9868,117.0645,27.73,79,33,6.5,PH,1703201055
101,polyarnyy,69.1989,33.4478,-11.19,97,100,4.43,RU,1703201231
102,bamboo flat,11.7,92.7167,27.05,89,40,3.6,IN,1703201231
103,lihue,21.9789,-159.3672,26.58,76,75,6.69,US,1703201231
104,ribeira grande,38.5167,-28.7,17.1,84,83,4.92,PT,1703201232
105,shingu,33.7333,135.9833,2.31,58,5,5.72,JP,1703201232
106,kodinsk,58.6881,99.1844,-15.87,98,98,1.8,RU,1703201232
107,longyearbyen,78.2186,15.6401,-12.09,52,0,5.14,SJ,1703201232
108,tomatlan,19.9333,-105.25,27.13,65,99,3.21,MX,1703201232
